time,open,high,low,close,Volume
1733276520,96617.8,96650.0,96617.8,96649.7,1.7526761
1733276580,96649.6,96649.6,96634.3,96634.4,1.32721436
1733276640,96634.3,96634.4,96634.3,96634.4,1.10139102
1733276700,96634.3,96649.7,96561.1,96561.1,2.02921632
1733276760,96550.0,96550.0,96475.8,96536.4,2.74996827
1733276820,96515.9,96515.9,96473.0,96473.0,0.0598112
1733276880,96473.0,96473.1,96406.0,96406.1,1.11995958
1733276940,96406.0,96406.1,96381.7,96381.8,2.10349546
1733277000,96381.7,96381.8,96381.7,96381.8,1.63923587
1733277060,96381.7,96382.9,96337.8,96364.5,5.13705959
1733277120,96364.4,96369.5,96341.2,96369.4,0.12974265
1733277180,96369.5,96430.0,96369.5,96429.8,0.53368381
1733277240,96429.9,96429.9,96386.6,96398.9,0.28197005
1733277300,96398.9,96399.0,96398.9,96398.9,0.2282994
1733277360,96398.9,96399.0,96344.9,96353.6,2.65039012
1733277420,96353.6,96353.7,96320.0,96320.0,0.10541147
1733277480,96320.1,96320.1,96320.0,96320.0,0.01197838
1733277540,96320.0,96320.1,96320.0,96320.0,0.01182486
1733277600,96320.1,96320.1,96320.0,96320.1,0.01434438
1733277660,96320.1,96320.1,96280.0,96280.0,0.60428015
1733277720,96280.0,96280.0,96209.0,96209.0,0.24861838
1733277780,96209.0,96209.0,96030.0,96030.1,2.3446979
1733277840,96030.0,96030.1,96030.0,96030.1,0.18796034
1733277900,96030.1,96092.0,96030.1,96085.8,5.79999773
1733277960,96069.0,96069.0,96030.0,96030.0,0.18184851
1733278020,96030.0,96030.0,95948.1,95948.1,1.27128748
1733278080,95948.1,95948.2,95872.3,95872.3,0.84476883
1733278140,95872.2,95872.2,95752.3,95777.9,4.21051012
1733278200,95778.0,95778.0,95777.9,95778.0,0.06251738
1733278260,95777.9,95777.9,95770.0,95770.0,2.1979305
1733278320,95770.0,95770.0,95601.0,95630.3,1.34498929
1733278380,95630.3,95630.3,95576.8,95576.8,22.93680396
1733278440,95576.7,95576.7,95445.9,95446.0,0.60222563
1733278500,95446.0,95473.4,95313.7,95473.4,31.09020028
1733278560,95473.3,95482.9,95424.7,95482.9,2.1274344
1733278620,95485.7,95611.0,95485.7,95610.9,2.35834499
1733278680,95610.9,95611.0,95610.9,95611.0,0.00830089
1733278740,95610.9,95610.9,95610.9,95610.9,0.01682428
1733278800,95611.0,95619.0,95611.0,95619.0,0.00280245
1733278860,95618.9,95638.2,95618.9,95638.2,0.17290885
1733278920,95638.2,95677.6,95638.2,95677.6,0.12205111
1733278980,95677.5,95690.0,95677.5,95689.9,0.54976361
1733279040,95690.0,95690.0,95689.9,95690.0,0.08319247
1733279100,95690.0,95690.8,95689.9,95690.0,5.24960197
1733279160,95689.9,95690.0,95677.5,95677.6,0.01560884
1733279220,95677.6,95677.6,95677.5,95677.5,0.00119605
1733279280,95677.6,95677.6,95677.5,95677.6,0.17237522
1733279340,95677.5,95684.7,95677.5,95684.7,0.04730066
1733279400,95684.8,95684.8,95666.3,95666.3,0.08335206
1733279460,95666.3,95666.3,95645.0,95645.0,0.29921044
1733279520,95633.1,95633.1,95613.9,95613.9,0.02001083
1733279580,95614.0,95650.1,95614.0,95650.1,1.01280103
1733279640,95666.3,95752.3,95666.3,95752.3,0.88727381
1733279700,95752.3,95754.4,95752.3,95754.4,0.0162481
1733279760,95754.0,95786.4,95754.0,95786.3,1.01382547
1733279820,95786.3,95786.4,95786.3,95786.4,0.30923561
1733279880,95786.4,95786.4,95786.4,95786.4,0.00198326
1733279940,95786.4,95786.4,95786.0,95786.0,0.27791224
1733280000,95781.3,95781.4,95781.3,95781.4,0.0826974
1733280060,95781.3,95781.3,95700.1,95700.1,0.11795357
1733280120,95700.1,95700.1,95700.0,95700.1,0.01690117
1733280180,95700.1,95700.1,95661.4,95688.0,0.01857265
1733280240,95687.9,95687.9,95681.9,95682.0,0.10251985
1733280300,95681.9,95700.0,95681.9,95682.1,0.85712093
1733280360,95682.0,95682.0,95552.7,95552.7,0.0280965
1733280420,95552.7,95627.5,95552.7,95627.5,1.02840031
1733280480,95634.2,95691.0,95634.2,95691.0,0.10137039
1733280540,95690.9,95691.1,95690.9,95691.1,0.03118779
1733280600,95691.1,95716.8,95691.1,95716.8,0.02908569
1733280660,95781.0,95781.0,95780.9,95780.9,0.00249617
1733280720,95781.0,95787.1,95781.0,95787.1,0.05302148
1733280780,95787.1,95788.3,95787.1,95788.3,0.18576315
1733280840,95788.2,95830.0,95788.2,95829.9,0.07242943
1733280900,95830.0,95830.0,95829.9,95830.0,0.02139842
1733280960,95830.0,95830.0,95829.9,95830.0,0.11684495
1733281020,95830.0,95850.5,95830.0,95850.5,0.66749464
1733281080,95850.4,95850.5,95850.4,95850.5,0.18911655
1733281140,95850.4,95855.9,95850.4,95853.1,0.27901534
1733281200,95853.1,95853.2,95853.1,95853.2,0.14221843
1733281260,95853.1,95865.6,95853.1,95865.6,0.05325909
1733281320,95860.1,95863.3,95860.1,95863.3,0.04234113
1733281380,95863.3,95874.2,95863.2,95874.1,0.0957089
1733281440,95876.7,95886.0,95876.7,95885.9,0.70698776
1733281500,95885.9,95888.8,95885.9,95888.7,0.19888087
1733281560,95888.8,95888.8,95888.7,95888.7,0.03627204
1733281620,95888.8,95888.8,95888.7,95888.8,0.43906022
1733281680,95888.8,95888.8,95888.7,95888.8,0.14971039
1733281740,95888.7,95888.8,95888.7,95888.8,0.83305156
1733281800,95888.8,95888.8,95888.7,95888.8,0.03740751
1733281860,95888.8,95888.8,95888.7,95888.8,0.01483999
1733281920,95888.8,95888.8,95888.7,95888.7,0.01968059
1733281980,95888.7,95888.8,95888.7,95888.7,0.75962075
1733282040,95888.7,95888.8,95888.7,95888.8,0.00432558
1733282100,95888.7,95888.8,95888.7,95888.8,0.01574313
1733282160,95888.8,95897.0,95888.8,95897.0,0.30308375
1733282220,95897.0,95897.0,95896.9,95896.9,0.25217894
1733282280,95896.9,95900.2,95888.8,95888.8,0.33404916
1733282340,95888.9,95890.0,95843.6,95843.6,1.11163098
1733282400,95843.6,95843.6,95793.2,95793.5,0.19336721
1733282460,95793.6,95793.6,95775.9,95775.9,0.34968435
1733282520,95775.9,95775.9,95747.1,95747.1,0.65302677
1733282580,95716.3,95716.3,95629.0,95655.2,0.29812205
1733282640,95660.9,95661.0,95660.9,95660.9,0.01648029
1733282700,95660.9,95661.0,95660.9,95661.0,0.01254894
1733282760,95681.4,95776.0,95681.4,95776.0,0.02157903
1733282820,95775.9,95808.8,95775.9,95808.8,0.01568104
1733282880,95813.8,95828.4,95813.8,95826.3,0.01835101
1733282940,95820.05,95842.75,95820.05,95841.65,0.020740599999999998
1733283000,95826.3,95857.1,95826.3,95857.0,0.02313019
1733283060,95857.1,95857.1,95857.0,95857.0,0.0339168
1733283120,95857.1,95857.1,95857.0,95857.0,0.01813768
1733283180,95857.0,95857.1,95857.0,95857.1,0.02029534
1733283240,95859.0,95873.0,95850.0,95872.9,0.43010565
1733283300,95873.0,95873.0,95872.9,95873.0,0.00376306
1733283360,95873.0,95873.0,95872.9,95872.9,0.10994451
1733283420,95872.9,95872.9,95872.9,95872.9,0.02376019
1733283480,95872.9,95872.9,95834.7,95840.8,0.25789627
1733283540,95849.6,95849.9,95840.9,95849.8,0.14946297
1733283600,95849.8,95849.9,95849.8,95849.8,0.42844265
1733283660,95849.8,95849.9,95849.8,95849.9,0.13738169
1733283720,95849.8,95849.9,95849.8,95849.9,0.01634928
1733283780,95849.9,95849.9,95849.9,95849.9,0.02648018
1733283840,95849.9,95849.9,95849.85,95849.9,0.126641425
1733283900,95849.9,95849.9,95849.8,95849.9,0.22680267
1733283960,95849.8,95849.9,95849.8,95849.9,0.11136778
1733284020,95849.8,95873.0,95849.8,95873.0,0.27453126
1733284080,95873.0,95897.0,95873.0,95897.0,0.07474422
1733284140,95896.9,95897.0,95896.9,95897.0,0.17531765
1733284200,95900.0,95900.1,95900.0,95900.1,0.05408007
1733284260,95900.1,95900.1,95873.6,95878.1,0.50580889
1733284320,95878.1,95880.4,95878.1,95880.3,0.14368098
1733284380,95880.4,95880.4,95875.4,95875.4,0.02122223
1733284440,95875.4,95875.4,95875.3,95875.4,0.00884489
1733284500,95875.3,95875.4,95875.3,95875.4,0.09067268
